Input feed cut file input-unit/svv-dual-band-2.204GHz-rhcp.cut, CF(dB)=-0.30, complex field for theta,phi degrees
    THETA    PHI        POL-1,real         POL-1,imag         POL-2,real         POL-2,imag
  180.00     0.00      -3.105307E-04      -1.145545E-03      -1.152556E-01      -8.888512E-03
    0.00     5.00       2.323721E+00       1.411772E+00      -8.938741E-03      -5.061192E-03
    1.00     5.00       2.322700E+00       1.411591E+00      -9.339957E-03      -5.128157E-03
    2.00     5.00       2.319815E+00       1.411065E+00      -9.927902E-03      -4.880869E-03
    3.00     5.00       2.315074E+00       1.410186E+00      -1.069610E-02      -4.325849E-03
    4.00     5.00       2.308493E+00       1.408941E+00      -1.163688E-02      -3.471459E-03
    5.00     5.00       2.300170E+00       1.407256E+00      -1.274184E-02      -2.327205E-03
    6.00     5.00       2.289976E+00       1.405230E+00      -1.399910E-02      -9.048546E-04
    7.00     5.00       2.278018E+00       1.402776E+00      -1.539703E-02       7.840338E-04
    8.00     5.00       2.264335E+00       1.399870E+00      -1.692181E-02       2.727166E-03
    9.00     5.00       2.248971E+00       1.396484E+00      -1.855800E-02       4.912325E-03
   10.00     5.00       2.231982E+00       1.392591E+00      -2.028873E-02       7.327893E-03
   11.00     5.00       2.213427E+00       1.388163E+00      -2.209593E-02       9.963409E-03
   12.00     5.00       2.193377E+00       1.383176E+00      -2.396072E-02       1.281013E-02
   13.00     5.00       2.171910E+00       1.377609E+00      -2.586402E-02       1.586159E-02
   14.00     5.00       2.149109E+00       1.371449E+00      -2.778728E-02       1.911403E-02
   15.00     5.00       2.125073E+00       1.364667E+00      -2.971075E-02       2.256622E-02
   16.00     5.00       2.099884E+00       1.357304E+00      -3.162596E-02       2.622137E-02
   17.00     5.00       2.073648E+00       1.349352E+00      -3.351907E-02       3.008485E-02
   18.00     5.00       2.046466E+00       1.340836E+00      -3.538505E-02       3.416473E-02
   19.00     5.00       2.018435E+00       1.331791E+00      -3.722565E-02       3.847063E-02
   20.00     5.00       1.989644E+00       1.322269E+00      -3.905072E-02       4.301227E-02
   21.00     5.00       1.960173E+00       1.312329E+00      -4.087927E-02       4.779743E-02
   22.00     5.00       1.930087E+00       1.302044E+00      -4.273998E-02       5.282933E-02
   23.00     5.00       1.899433E+00       1.291488E+00      -4.467106E-02       5.810371E-02
   24.00     5.00       1.868236E+00       1.280740E+00      -4.671917E-02       6.360542E-02
   25.00     5.00       1.836497E+00       1.269869E+00      -4.893713E-02       6.930514E-02
   26.00     5.00       1.804196E+00       1.258935E+00      -5.138047E-02       7.515637E-02
   27.00     5.00       1.771291E+00       1.247972E+00      -5.410258E-02       8.109320E-02
   28.00     5.00       1.737726E+00       1.236989E+00      -5.714873E-02       8.702940E-02
   29.00     5.00       1.703438E+00       1.225958E+00      -6.054927E-02       9.285937E-02
   30.00     5.00       1.668371E+00       1.214857E+00      -6.431921E-02       9.846480E-02
   31.00     5.00       1.632459E+00       1.203482E+00      -6.842388E-02       1.037022E-01
   32.00     5.00       1.595711E+00       1.191774E+00      -7.282007E-02       1.084447E-01
   33.00     5.00       1.558154E+00       1.179540E+00      -7.741259E-02       1.125652E-01
   34.00     5.00       1.519872E+00       1.166604E+00      -8.207376E-02       1.159582E-01
   35.00     5.00       1.481002E+00       1.152793E+00      -8.664423E-02       1.185516E-01
   36.00     5.00       1.441738E+00       1.137959E+00      -9.094227E-02       1.203187E-01
   37.00     5.00       1.402323E+00       1.121995E+00      -9.477760E-02       1.212872E-01
   38.00     5.00       1.363032E+00       1.104855E+00      -9.796899E-02       1.215436E-01
   39.00     5.00       1.324156E+00       1.086559E+00      -1.003641E-01       1.212323E-01
   40.00     5.00       1.285976E+00       1.067204E+00      -1.018593E-01       1.205465E-01
   41.00     5.00       1.248743E+00       1.046956E+00      -1.024174E-01       1.197120E-01
   42.00     5.00       1.212629E+00       1.026083E+00      -1.020857E-01       1.189685E-01
   43.00     5.00       1.177769E+00       1.004762E+00      -1.009755E-01       1.185223E-01
   44.00     5.00       1.144204E+00       9.833138E-01      -9.928811E-02       1.185515E-01
   45.00     5.00       1.111878E+00       9.620005E-01      -9.727723E-02       1.191516E-01
   46.00     5.00       1.080659E+00       9.410397E-01      -9.522377E-02       1.203231E-01
   47.00     5.00       1.050353E+00       9.205764E-01      -9.339892E-02       1.219625E-01
   48.00     5.00       1.020738E+00       9.006637E-01      -9.202362E-02       1.238686E-01
   49.00     5.00       9.915976E-01       8.812576E-01      -9.123111E-02       1.257651E-01
   50.00     5.00       9.627434E-01       8.622196E-01      -9.103736E-02       1.273372E-01
   51.00     5.00       9.341278E-01       8.433731E-01      -9.133776E-02       1.282818E-01
   52.00     5.00       9.056988E-01       8.245110E-01      -9.191083E-02       1.283560E-01
   53.00     5.00       8.776054E-01       8.053876E-01      -9.243016E-02       1.274200E-01
   54.00     5.00       8.500166E-01       7.858962E-01      -9.255039E-02       1.254814E-01
   55.00     5.00       8.231568E-01       7.659898E-01      -9.194220E-02       1.226891E-01
   56.00     5.00       7.972518E-01       7.457180E-01      -9.035786E-02       1.193203E-01
   57.00     5.00       7.724878E-01       7.252162E-01      -8.768012E-02       1.157377E-01
   58.00     5.00       7.489814E-01       7.046785E-01      -8.394928E-02       1.123281E-01
   59.00     5.00       7.267652E-01       6.843236E-01      -7.936182E-02       1.094330E-01
   60.00     5.00       7.057887E-01       6.643599E-01      -7.423876E-02       1.072853E-01
   61.00     5.00       6.858954E-01       6.449375E-01      -6.897855E-02       1.059565E-01
   62.00     5.00       6.669877E-01       6.261687E-01      -6.394278E-02       1.053610E-01
   63.00     5.00       6.488548E-01       6.080914E-01      -5.944062E-02       1.052525E-01
   64.00     5.00       6.313260E-01       5.906678E-01      -5.562892E-02       1.052838E-01
   65.00     5.00       6.142699E-01       5.738030E-01      -5.248914E-02       1.050809E-01
   66.00     5.00       5.976140E-01       5.573675E-01      -4.983238E-02       1.043264E-01
   67.00     5.00       5.813521E-01       5.412296E-01      -4.734349E-02       1.028332E-01
   68.00     5.00       5.655348E-01       5.252867E-01      -4.465651E-02       1.005907E-01
   69.00     5.00       5.502150E-01       5.094461E-01      -4.145510E-02       9.776165E-02
   70.00     5.00       5.355462E-01       4.937571E-01      -3.751411E-02       9.466490E-02
   71.00     5.00       5.215533E-01       4.782545E-01      -3.281571E-02       9.167457E-02
   72.00     5.00       5.082543E-01       4.630014E-01      -2.751903E-02       8.913717E-02
   73.00     5.00       4.956314E-01       4.480538E-01      -2.193339E-02       8.728149E-02
   74.00     5.00       4.836481E-01       4.334457E-01      -1.644155E-02       8.615913E-02
   75.00     5.00       4.722692E-01       4.191920E-01      -1.140302E-02       8.563078E-02
   76.00     5.00       4.614389E-01       4.052656E-01      -7.071254E-03       8.539113E-02
   77.00     5.00       4.512179E-01       3.917160E-01      -3.494916E-03       8.507978E-02
   78.00     5.00       4.415433E-01       3.785707E-01      -5.589660E-04       8.433949E-02
   79.00     5.00       4.323723E-01       3.658646E-01       2.018870E-03       8.292962E-02
   80.00     5.00       4.236366E-01       3.536237E-01       4.600370E-03       8.078646E-02
   81.00     5.00       4.152495E-01       3.418489E-01       7.526896E-03       7.803975E-02
   82.00     5.00       4.071214E-01       3.305083E-01       1.102372E-02       7.497628E-02
   83.00     5.00       3.991393E-01       3.195084E-01       1.512166E-02       7.194785E-02
   84.00     5.00       3.913412E-01       3.087779E-01       1.969582E-02       6.930149E-02
   85.00     5.00       3.836667E-01       2.982191E-01       2.442748E-02       6.724042E-02
   86.00     5.00       3.761462E-01       2.877221E-01       2.894533E-02       6.578196E-02
